text,text_cleaned_full,manual
Plisss poninya kenapa gak panjang”😭😭😭😭,plisss poninya kenapa panjang,
Mayiii🤏🏼,mayiii,
itu adiknya ya bunn,adiknya bunn,
cushion nya di bioku no 1🥰🥰m,cushion nya bioku no,
mintaaa 😭🤏🏻,mintaaa,
cushion nya di bioku no 1🥰🥰x,cushion nya bioku no,
,,
cushion nya di bioku no 1🥰🥰v,cushion nya bioku no,
cushion nya di bioku no 1🥰🥰y,cushion nya bioku no,
"""mayi minta"" 😭",mayi minta,
cushion nya di bioku no 1🥰🥰g,cushion nya bioku no,
mayii 🥺,mayii,
cushion nya di bioku no 1🥰😁,cushion nya bioku no,
Mayi🤗,mayi,
mintaaa😂🤣🤣,mintaaa,
kapan ya poni croptopnya panjang?,kapan poni croptopnya panjang,
dia pake cushion pake shade yg lebih gelap😭,pake cushion pake shade lebih gelap,
cushionnya ada dibio ku no 1🥰🥰e,cushionnya dibio ku no,
cushion nya di bioku no 1🥰🥰s,cushion nya bioku no,
poni nya crop top🥰,poni nya crop top,
menit semua komen nya jier,menit semua komen nya jier,
MAYI : YAAAAHHHH MINTAAAA 🫴,mayi yaaaahhhh mintaaaa,
Maiiii bisa,maiiii bisa,
till jangan potongg lagi ponii mayiii🤏,till jangan potongg lagi ponii mayiii,
haha,,
aaaa so cutee 😭💗,aaaa so cutee,
soon ky gni,soon ky gni,
poninya sii blonde lama amat panjangnya😭,poninya sii blonde lama amat panjangnya,
panjangin please poninya 😭😭😭,panjangin please poninya,
mayi dan poni croptop nyaa🥰🥰,mayi poni croptop nyaa,
till lu nnti klo poni kmri uda pnjng jgn lu lg yg potong😭🙏🏻,till lu nnti poni kmri pnjng jgn lu potong,
jenn req lu ganti warna rambut jd blondee jugaaaa,jenn req lu ganti warna rambut blondee jugaaaa,
si poni crop top itu lgii🤏🏻,si poni crop top lgii,
mayiii 🥰🥰🥰🥰🥰,mayiii,
tau kn kalian yg mana MUA nya😭,tau kn kalian mana mua nya,
yg potong poni nya mayi siapa si ? 🙏😂,potong poni nya mayi siapa si,
“mayi minta”🤏🏻🤏🏻🤏🏻😭😭😭,mayi minta,
Mayiiiii😭,mayiiiii,
haii,haii,
“wahhh duh…”😭,wahhh duh,
haii mayi,haii mayi,
"pasti shade lu berubah""kan til",pasti shade lu berubahkan til,
first,first,
cushion nya di bioku no 1🥰🥰q,cushion nya bioku no,
,,
mayiiii,mayiiii,
knp kamari sekarang kerja jadi MUA 😩,knp kamari sekarang kerja mua,
mayi ucul bgt sii aplgi poni croptopnya 🥰,mayi ucul sii aplgi poni croptopnya,
mama mayi semakin berisi semakin cantik 🥰,mama mayi semakin berisi semakin cantik,
beda shade mar beli yang 00 marr,beda shade mar marr,
jen anj poni nya yallah😭,jen poni nya yallah,
mayi gemesss 🥰,mayi gemesss,
@rehanaangelita: si blonde makin lucu aja sik😭😭❤️❤️❤️❤,rehanaangelita si blonde makin lucu sik,
ga kerasa udah gedeee mayiiiii😍😍😍,kerasa gedeee mayiiiii,
"""otey,mayi minta""",oteymayi minta,
komennya pada menit semua jir 😭,komennya menit semua jir,
cushion nya di bioku no 1🥰v,cushion nya bioku no,
poni nyaa😭😭😭,poni nyaa,
mayiiiiiiiii🥰,mayiiiiiiiii,
"""mi pinta""😭 🤏",mi pinta,
lucu bgt si mayi,lucu si mayi,
Gemesnya oiii mayiiii😫🥰🥰🥰,gemesnya oiii mayiiii,
poni lu marrrrr😭,poni lu marrrrr,
ihh mayi udah gede🥹🤏,ihh mayi gede,
gemess bangett mayiii🥰🥰,gemess bangett mayiii,
"""Mayi tantik"" 😫😫",mayi tantik,
mayikkk ko kmu lucu bgttt😭🌹,mayikkk ko kmu lucu bgttt,
mayii,mayii,
"gemes bgt ""mayi minta""😭",gemes mayi minta,
dmnpun berada mayi sll nyanyi😂riang sll kamu mayi😂🥰,dmnpun berada mayi sll nyanyiriang sll mayi,
"""Mayi minta"" hhh mayi mayi cute banget😂🫠",mayi minta hhh mayi mayi cute,
cushion nya di bioku no 1🥰q,cushion nya bioku no,
“Mayi cantik kan?” 🥺🥺🥺,mayi cantik,
mayiii ❤,mayiii,
Im here always for mayi🥰,im here always for mayi,
"""mayi mauu"" lucuuu bgttt 🥹🤍🤏🏻",mayi mauu lucuuu bgttt,
mayi lucukkk banget😣💗,mayi lucukkk,
kamari; aku cantik kan😚,kamari cantik,
"""yang mungkin anda kenal""",mungkin anda kenal,
masih sunyi😁,masih sunyi,
MAYIIII😭🤏🏻,mayiiii,
iyaa nak mayi cantik kok,nak mayi cantik kok,
lucu ni blonde😭❤,lucu ni blonde,
"kak ijin mau nanya itu cushionnya kok lebih gelap dari warna kulit kk ya??
ijin tanya ya kak",kak ijin mau nanya cushionnya kok lebih gelap warna kulit kk ijin tanya kak,
ko udah gede si dia ih,ko gede si ih,
ih aku PERTAMA,ih pertama,
"""okeyy mayii mintaa""😖",okeyy mayii mintaa,
makin pinter aja mayiii🥰,makin pinter mayiii,
"“mayi cantik kan?” ah elaaahhh pke nnya sgla, cantik bngt lu yiii",mayi cantik ah elaaahhh pke nnya sgla cantik bngt lu yiii,
"""mayi cantik kan"" ? yeess kamuu cantikkk bingit mayiii",mayi cantik yeess kamuu cantikkk bingit mayiii,
"mayi lo udah cantik dan putih,ngk usah pake bedak🤏🥰",mayi lo cantik putihngk usah pake bedak,
cushion nya di bioku no 1🥰🥰z,cushion nya bioku no,
first ni mamayi,first ni mamayi,
"""mayi minta"" 🤏🤏",mayi minta,
kayak ny nanti kamari jadi mua😊😊😭,kayak ny nanti kamari mua,
p,,
bikinin Kamari vlog sendiri 😘,bikinin kamari vlog sendiri,
Jen minjem kamari mau ajak main sih 😄,jen minjem kamari mau ajak main,
pertama?,pertama,
hay kamari🥰🥰,hay kamari,
mayiiiik🤏🏻,mayiiiik,
lucu banget kamari🤏🤏,lucu kamari,
😂😂😂😂Kamari,kamari,
till percumaa ngejelasin kitaa perhatian nyaa ke si pirang😌,till percumaa ngejelasin kitaa perhatian nyaa si pirang,
"""03 wehhh""",wehhh,
kamari tuh jessivard versi sachet,kamari tuh jessivard versi sachet,
plis poni nyaa😂😭,plis poni nyaa,
Gakuat mayiiii😆😆😆🤏🤏🤏,gakuat mayiiii,
bocil lucu.bingit,bocil lucubingit,
mayi😭😭,mayi,
lucu banget 🤏🤏 kamari,lucu kamari,
mayiiii gumushhh amat😍😍,mayiiii gumushhh amat,
timephoria,timephoria,
adikkk gorjess💕💕💕,adikkk gorjess,
adek gemes banget sihhh🥰,adek gemes sihhh,
cushionnya ada dibio ku no 1🥰🥰j,cushionnya dibio ku no,
cushion nya di bioku no 1🥰🥰r,cushion nya bioku no,
Pertama tip dapat kamari kan😂😂😂,pertama tip dapat kamari,
mayi makin pinterr ajaa luu😭,mayi makin pinterr ajaa luu,
lucu nya kamari🥰,lucu nya kamari,
aaa lucuu bgt mayii🥰,aaa lucuu mayii,
lucu banget mayi,lucu mayi,
lucu bangeeeeeeeeeettt,lucu bangeeeeeeeeeettt,
cntik,cntik,
aku gabisa bahasa Inggris plissss😭😭😭🙏🙏🙏😂,gabisa bahasa inggris plissss,
lucu kamari,lucu kamari,
masih dengan lagu cicak cicak di dinding nya😂,masih lagu cicak cicak dinding nya,
mayiii kamu lucu banget🥰🥰,mayiii lucu,
suka bnget liat mayi ngomong 🥰,suka bnget liat mayi ngomong,
masih lucu banget si blonde,masih lucu si blonde,
Salfok poni mayii,salfok poni mayii,
🥰🥰🥰🥰🥰Mayi lucu pol,mayi lucu pol,
"lucu bgt ""mayi minta"" wwkwkwkwkw",lucu mayi minta wwkwkwkwkw,
kemayu e Masya Allah kamari,kemayu masya allah kamari,
Kamari Be dest 👍🏻,kamari be dest,
mayi poninya siapa yg potong,mayi poninya siapa potong,
gemesss bgt mayi❣,gemesss mayi,
mayi🥰love u,mayilove,
"""mayi minta"" 😂😂😂",mayi minta,
plis poni nya siapa yqng potongin😭😭,plis poni nya siapa yqng potongin,
"""mayiii mintaa"" 😳",mayiii mintaa,
Loveee iitt 🤏🏻🤏🏻,loveee iitt,
Hy gayss🤣🤣 luccuu 😍,hy gayss luccuu,
"""mayi cantik kan? 🥰🥰🥰""",mayi cantik,
"""mayi cantik kan""😭",mayi cantik,
lucuu nya mayiiiii😍,lucuu nya mayiiiii,
"""mama minta"" 🥹",mama minta,
Shade mu qm turunin ya jen?,shade mu qm turunin jen,
till spill eyebrow nya,till spill eyebrow nya,
"""pake bedak""🤏🏻🤏🏻",pake bedak,
Suka cara Jen. Bagi Mayi cuba segala. Libatkan Mayi dalam segala urusan. Good job mama 🥰,suka cara jen bagi mayi cuba segala libatkan mayi segala urusan good job mama,
